"Date","Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Daily Mean Travel Time (Seconds)","Daily Range - Lower Bound Travel Time (Seconds)","Daily Range - Upper Bound Travel Time (Seconds)","AM Mean Travel Time (Seconds)","AM Range - Lower Bound Travel Time (Seconds)","AM Range - Upper Bound Travel Time (Seconds)","PM Mean Travel Time (Seconds)","PM Range - Lower Bound Travel Time (Seconds)","PM Range - Upper Bound Travel Time (Seconds)","Midday Mean Travel Time (Seconds)","Midday Range - Lower Bound Travel Time (Seconds)","Midday Range - Upper Bound Travel Time (Seconds)","Evening Mean Travel Time (Seconds)","Evening Range - Lower Bound Travel Time (Seconds)","Evening Range - Upper Bound Travel Time (Seconds)","Early Morning Mean Travel Time (Seconds)","Early Morning Range - Lower Bound Travel Time (Seconds)","Early Morning Range - Upper Bound Travel Time (Seconds)"
"11/15/2017","81","Landmawe","65","City Square",672,255,1764,655,323,1325,1014,587,1750,886,477,1645,238,106,534,323,130,801
"11/16/2017","81","Landmawe","65","City Square",652,256,1661,705,364,1365,828,421,1628,855,433,1686,352,140,883,335,133,841
"11/17/2017","81","Landmawe","65","City Square",392,155,987,644,344,1207,584,283,1207,506,233,1099,212,99,450,245,106,567
"11/18/2017","81","Landmawe","65","City Square",354,148,847,412,183,929,305,147,632,573,299,1098,230,114,462,181,86,379
"11/19/2017","81","Landmawe","65","City Square",226,107,477,171,86,342,280,154,510,228,113,457,196,94,404,253,105,610
"11/20/2017","81","Landmawe","65","City Square",329,133,815,658,353,1229,331,156,700,294,128,671,185,90,379,225,99,509
"11/21/2017","81","Landmawe","65","City Square",663,245,1797,681,364,1275,1274,722,2246,771,399,1488,304,116,800,279,117,664
"11/22/2017","81","Landmawe","65","City Square",668,261,1705,723,348,1502,958,468,1961,815,427,1555,377,146,970,203,93,445
"11/23/2017","81","Landmawe","65","City Square",606,240,1527,621,338,1141,927,488,1762,722,378,1379,353,136,916,198,94,416
"11/24/2017","81","Landmawe","65","City Square",691,287,1660,644,309,1342,1034,519,2058,887,434,1814,485,217,1086,245,108,554
"11/25/2017","81","Landmawe","65","City Square",402,171,946,312,149,650,513,298,883,638,353,1150,320,149,688,209,93,470
"11/26/2017","81","Landmawe","65","City Square",283,125,640,,,,211,106,420,439,216,891,154,84,284,560,335,938
"11/27/2017","81","Landmawe","65","City Square",598,227,1572,664,281,1567,810,361,1816,784,386,1592,309,130,734,216,101,461
"11/28/2017","81","Landmawe","65","City Square",190,87,414,199,92,431,169,86,332,238,93,604,174,85,356,164,79,339
"11/29/2017","81","Landmawe","65","City Square",663,244,1802,745,339,1635,1019,535,1939,797,387,1641,417,146,1190,191,87,416
"11/30/2017","81","Landmawe","65","City Square",754,271,2093,788,334,1857,1063,503,2248,898,402,2005,567,189,1695,234,102,535
"12/01/2017","81","Landmawe","65","City Square",655,242,1775,678,337,1364,1040,477,2263,944,468,1902,419,164,1064,197,95,409
