"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"271","awendo lamba, 042, Nairobi","113","A 104","1/10/2017 - 1/12/2017, Every day, Daily Average",1518,997,2310
"271","awendo lamba, 042, Nairobi","114","Gitaru Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",1737,1170,2578
"271","awendo lamba, 042, Nairobi","115","Syokimau Airport Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",2280,1468,3539
"271","awendo lamba, 042, Nairobi","116","Kayole Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",2767,1680,4555
"271","awendo lamba, 042, Nairobi","117","Unnamed Road","1/10/2017 - 1/12/2017, Every day, Daily Average",2699,1789,4070
"271","awendo lamba, 042, Nairobi","120","Mombasa Road","1/10/2017 - 1/12/2017, Every day, Daily Average",2900,2029,4143
"271","awendo lamba, 042, Nairobi","121","Kibichiko Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",1770,1161,2697
"271","awendo lamba, 042, Nairobi","123","Muigai Kenyatta Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",2377,1644,3435
"271","awendo lamba, 042, Nairobi","124","Mombasa Road","1/10/2017 - 1/12/2017, Every day, Daily Average",2128,1393,3248
"271","awendo lamba, 042, Nairobi","125","Unnamed Road","1/10/2017 - 1/12/2017, Every day, Daily Average",3027,1996,4589
"271","awendo lamba, 042, Nairobi","126","Kangundo Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",3054,2163,4311
"271","awendo lamba, 042, Nairobi","127","Lower Kabete","1/10/2017 - 1/12/2017, Every day, Daily Average",1574,1120,2211
"271","awendo lamba, 042, Nairobi","128","Langata Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",1606,1022,2521
"271","awendo lamba, 042, Nairobi","129","Northern Bypass Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",2965,1926,4564
"271","awendo lamba, 042, Nairobi","130","Southern Bypass","1/10/2017 - 1/12/2017, Every day, Daily Average",1355,757,2423
"271","awendo lamba, 042, Nairobi","131","Magadi Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",3074,2114,4468
"271","awendo lamba, 042, Nairobi","132","Ruiru Kamiti Road","1/10/2017 - 1/12/2017, Every day, Daily Average",2663,1675,4233
"271","awendo lamba, 042, Nairobi","133","P.O. Box 41185","1/10/2017 - 1/12/2017, Every day, Daily Average",447,166,1201
"271","awendo lamba, 042, Nairobi","135","Kikuyu Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",2068,1383,3090
