"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"258","0 Muthithi Rd","300","Helena Road","1/10/2017 - 1/12/2017, Every day, Daily Average",2587,1582,4228
"258","0 Muthithi Rd","301","ELSEK ELSEK Nairobi Show House Road","1/10/2017 - 1/12/2017, Every day, Daily Average",2570,1758,3756
"258","0 Muthithi Rd","302","Limuru Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",2371,1648,3410
"258","0 Muthithi Rd","303","400 Muhuri Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",2209,1434,3401
"258","0 Muthithi Rd","304","Embu - Nairobi Hwy","1/10/2017 - 1/12/2017, Every day, Daily Average",1801,1216,2666
"258","0 Muthithi Rd","305","Amani","1/10/2017 - 1/12/2017, Every day, Daily Average",1546,1021,2339
"258","0 Muthithi Rd","306","Mandela Gate","1/10/2017 - 1/12/2017, Every day, Daily Average",1607,1013,2548
"258","0 Muthithi Rd","308","500 Kwarara Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",2900,1951,4309
"258","0 Muthithi Rd","309","Unnamed Road","1/10/2017 - 1/12/2017, Every day, Daily Average",1438,869,2378
"258","0 Muthithi Rd","311","Kangundo Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",3128,2108,4639
"258","0 Muthithi Rd","312","100 Kamiti Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",1272,770,2101
"258","0 Muthithi Rd","313","Mumwe Drive","1/10/2017 - 1/12/2017, Every day, Daily Average",1667,1149,2416
"258","0 Muthithi Rd","314","Mutarakwa Limuru Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",2405,1713,3375
"258","0 Muthithi Rd","316","Prestige Apartments","1/10/2017 - 1/12/2017, Every day, Daily Average",1859,1128,3061
"258","0 Muthithi Rd","317","Fifth St","1/10/2017 - 1/12/2017, Every day, Daily Average",962,595,1553
"258","0 Muthithi Rd","319","Banana Raini Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",2037,1481,2801
"258","0 Muthithi Rd","320","Northern Bypass Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",2165,1461,3206
"258","0 Muthithi Rd","321","Fiesta-Bypass Link","1/10/2017 - 1/12/2017, Every day, Daily Average",1583,1032,2427
"258","0 Muthithi Rd","322","Wanyee Cl","1/10/2017 - 1/12/2017, Every day, Daily Average",1872,1186,2952
"258","0 Muthithi Rd","323","Njathaini Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",2264,1510,3393
"258","0 Muthithi Rd","324","30700 Naivasha Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",1044,660,1649
"258","0 Muthithi Rd","325","Community Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",3043,1882,4919
"258","0 Muthithi Rd","326","Unnamed Road","1/10/2017 - 1/12/2017, Every day, Daily Average",2516,1823,3471
"258","0 Muthithi Rd","327","Moi Dr","1/10/2017 - 1/12/2017, Every day, Daily Average",1883,1179,3007
