"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"192","KISII UNIVERSITY NAIROBI CAMPUS, Corner House, Nairobi","46","Magoko Road","1/10/2017 - 1/12/2017, Every day, Daily Average",3365,2564,4415
"192","KISII UNIVERSITY NAIROBI CAMPUS, Corner House, Nairobi","47","Ruiru Kamiti Road","1/10/2017 - 1/12/2017, Every day, Daily Average",2435,1783,3323
"192","KISII UNIVERSITY NAIROBI CAMPUS, Corner House, Nairobi","48","Kiambu Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",620,349,1099
"192","KISII UNIVERSITY NAIROBI CAMPUS, Corner House, Nairobi","49","Rd to Utawala Academy","1/10/2017 - 1/12/2017, Every day, Daily Average",1772,1086,2890
"192","KISII UNIVERSITY NAIROBI CAMPUS, Corner House, Nairobi","51","First Freight Lane","1/10/2017 - 1/12/2017, Every day, Daily Average",1542,964,2464
"192","KISII UNIVERSITY NAIROBI CAMPUS, Corner House, Nairobi","52","300 Ngong Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",2409,1575,3684
"192","KISII UNIVERSITY NAIROBI CAMPUS, Corner House, Nairobi","53","Bamburi Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",2982,1996,4454
"192","KISII UNIVERSITY NAIROBI CAMPUS, Corner House, Nairobi","54","Muramati Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",2602,1893,3576
"192","KISII UNIVERSITY NAIROBI CAMPUS, Corner House, Nairobi","56","Unnamed Road","1/10/2017 - 1/12/2017, Every day, Daily Average",1643,992,2718
"192","KISII UNIVERSITY NAIROBI CAMPUS, Corner House, Nairobi","57","Getathuru Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",1587,1051,2395
"192","KISII UNIVERSITY NAIROBI CAMPUS, Corner House, Nairobi","58","Hekima Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",2142,1438,3190
"192","KISII UNIVERSITY NAIROBI CAMPUS, Corner House, Nairobi","59","Unnamed Road","1/10/2017 - 1/12/2017, Every day, Daily Average",746,433,1283
"192","KISII UNIVERSITY NAIROBI CAMPUS, Corner House, Nairobi","60","Mutungoni Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",3099,2195,4374
"192","KISII UNIVERSITY NAIROBI CAMPUS, Corner House, Nairobi","61","Kinanda Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",1705,1154,2517
"192","KISII UNIVERSITY NAIROBI CAMPUS, Corner House, Nairobi","62","Lucky Twin Plaza Road","1/10/2017 - 1/12/2017, Every day, Daily Average",1837,1237,2726
