"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"192","Cargen House","131","Magadi Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",3200,2208,4636
"192","Cargen House","132","Ruiru Kamiti Road","1/10/2017 - 1/12/2017, Every day, Daily Average",2355,1528,3627
"192","Cargen House","133","P.O. Box 41185","1/10/2017 - 1/12/2017, Every day, Daily Average",792,381,1646
"192","Cargen House","135","Kikuyu Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",2346,1593,3454
"192","Cargen House","136","900 Edina Apartments","1/10/2017 - 1/12/2017, Every day, Daily Average",2792,1820,4282
"192","Cargen House","137","Thika - Mang'u Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",2826,2160,3697
"192","Cargen House","138","Northern Bypass Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",1712,1116,2625
"192","Cargen House","139","Kiambu Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",1419,900,2235
"192","Cargen House","140","Banana Raini Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",2011,1396,2896
"192","Cargen House","141","Loiyangalani Dr","1/10/2017 - 1/12/2017, Every day, Daily Average",1573,1005,2459
"192","Cargen House","142","Brookside Grove","1/10/2017 - 1/12/2017, Every day, Daily Average",799,434,1468
"192","Cargen House","143","Olkeri Laiser Hill Road","1/10/2017 - 1/12/2017, Every day, Daily Average",2990,1976,4522
"192","Cargen House","144","Unnamed Road","1/10/2017 - 1/12/2017, Every day, Daily Average",2646,1792,3906
"192","Cargen House","145","Mombasa Road","1/10/2017 - 1/12/2017, Every day, Daily Average",1963,1274,3023
"192","Cargen House","146","Unnamed Road","1/10/2017 - 1/12/2017, Every day, Daily Average",2920,1880,4534
"192","Cargen House","147","Meru - Nairobi Hwy","1/10/2017 - 1/12/2017, Every day, Daily Average",2577,1952,3400
"192","Cargen House","148","Unnamed Road","1/10/2017 - 1/12/2017, Every day, Daily Average",2985,2040,4366
"192","Cargen House","150","Unnamed Road","1/10/2017 - 1/12/2017, Every day, Daily Average",2399,1616,3561
"192","Cargen House","151","0 Riverside Dr","1/10/2017 - 1/12/2017, Every day, Daily Average",639,309,1320
"192","Cargen House","152","Nairobi - Namanga","1/10/2017 - 1/12/2017, Every day, Daily Average",2508,1782,3528
"192","Cargen House","153","0 Bendera Ln","1/10/2017 - 1/12/2017, Every day, Daily Average",1286,818,2019
"192","Cargen House","154","Magadi Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",1848,1217,2805
"192","Cargen House","155","C65","1/10/2017 - 1/12/2017, Every day, Daily Average",1929,1321,2815
"192","Cargen House","157","0 Spring Valley Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",1197,732,1957
"192","Cargen House","158","Magadi Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",1536,973,2423
"192","Cargen House","159","Zada Flat","1/10/2017 - 1/12/2017, Every day, Daily Average",2265,1518,3378
"192","Cargen House","161","clay city masournets","1/10/2017 - 1/12/2017, Every day, Daily Average",1390,859,2248
"192","Cargen House","162","Nderi K.A.R.I. Nrb Rd.","1/10/2017 - 1/12/2017, Every day, Daily Average",1939,1557,2414
"192","Cargen House","164","Mumbi Ln","1/10/2017 - 1/12/2017, Every day, Daily Average",1558,952,2549
"192","Cargen House","165","A 104","1/10/2017 - 1/12/2017, Every day, Daily Average",2592,1985,3384
"192","Cargen House","166","Embakasi Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",1754,1050,2927
"192","Cargen House","167","Kirawa Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",1817,1283,2571
"192","Cargen House","168","Ring Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",3076,2082,4544
"192","Cargen House","169","J35,Block 62/469 Kibera Dr","1/10/2017 - 1/12/2017, Every day, Daily Average",1474,901,2409
"192","Cargen House","172","James Gichuru Road","1/10/2017 - 1/12/2017, Every day, Daily Average",1501,930,2421
"192","Cargen House","173","Garissa Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",3250,2505,4216
"192","Cargen House","175","Kamiti Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",2089,1430,3050
"192","Cargen House","176","Share Saifiyah Burhaniyah","1/10/2017 - 1/12/2017, Every day, Daily Average",1674,1066,2628
"192","Cargen House","177","Kikuyu Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",2679,1818,3946
"192","Cargen House","178","Kugeria Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",1533,1032,2276
"192","Cargen House","179","Eldoret-Malaba Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",2349,1764,3127
"192","Cargen House","180","Eastern Bypass","1/10/2017 - 1/12/2017, Every day, Daily Average",2146,1458,3157
"192","Cargen House","181","King'eero Shopping Centre Main Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",2031,1475,2794
"192","Cargen House","182","A 104","1/10/2017 - 1/12/2017, Every day, Daily Average",1973,1410,2758
"192","Cargen House","183","Rd to Utawala Academy","1/10/2017 - 1/12/2017, Every day, Daily Average",2242,1396,3600
"192","Cargen House","184","Miami Ct Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",2239,1481,3383
"192","Cargen House","185","Limuru Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",2572,1783,3709
"192","Cargen House","186","Unnamed Road","1/10/2017 - 1/12/2017, Every day, Daily Average",2199,1613,2997
"192","Cargen House","187","Unnamed Road","1/10/2017 - 1/12/2017, Every day, Daily Average",3667,2421,5552
"192","Cargen House","188","Hinga Road","1/10/2017 - 1/12/2017, Every day, Daily Average",1203,742,1949
"192","Cargen House","189","Unnamed Road","1/10/2017 - 1/12/2017, Every day, Daily Average",2073,1377,3120
"192","Cargen House","190","Kamandura - Mai Mahiu - Narok Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",2701,1859,3923
"192","Cargen House","191","Bogani E Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",1842,1178,2877
"192","Cargen House","192","Cargen House","1/10/2017 - 1/12/2017, Every day, Daily Average",519,205,1313
"192","Cargen House","193","Katani Road","1/10/2017 - 1/12/2017, Every day, Daily Average",2264,1434,3573
"192","Cargen House","194","James Dr","1/10/2017 - 1/12/2017, Every day, Daily Average",1896,1289,2787
"192","Cargen House","196","Kihara- Gacii- Karura Road","1/10/2017 - 1/12/2017, Every day, Daily Average",2995,1756,5107
"192","Cargen House","198","Mae Properties Dr","1/10/2017 - 1/12/2017, Every day, Daily Average",1594,1008,2519
"192","Cargen House","199","Catholic Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",2438,1653,3595
"192","Cargen House","200","Karura Munyaka Road","1/10/2017 - 1/12/2017, Every day, Daily Average",2666,1537,4622
"192","Cargen House","201","Masimba Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",2089,1325,3291
"192","Cargen House","202","Rose Cl","1/10/2017 - 1/12/2017, Every day, Daily Average",915,532,1571
"192","Cargen House","203","Ngong Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",2753,1848,4100
"192","Cargen House","204","Mukiri Road","1/10/2017 - 1/12/2017, Every day, Daily Average",1437,930,2220
"192","Cargen House","206","Meru - Nairobi Hwy","1/10/2017 - 1/12/2017, Every day, Daily Average",2486,1852,3336
"192","Cargen House","207","2nd Sunrise Ave","1/10/2017 - 1/12/2017, Every day, Daily Average",1903,1290,2807
"192","Cargen House","208","Kangundo Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",2939,1999,4320
"192","Cargen House","209","City Chicken Road","1/10/2017 - 1/12/2017, Every day, Daily Average",1888,1247,2857
"192","Cargen House","210","Airport N Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",1611,931,2785
"192","Cargen House","211","Kayole Spine Road","1/10/2017 - 1/12/2017, Every day, Daily Average",1931,1212,3074
"192","Cargen House","212","Lunga Lunga Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",1446,819,2552
"192","Cargen House","213","Ruiru Kamiti Road","1/10/2017 - 1/12/2017, Every day, Daily Average",1664,1145,2416
"192","Cargen House","214","Lane 26","1/10/2017 - 1/12/2017, Every day, Daily Average",1968,1347,2875
"192","Cargen House","218","Unnamed Road","1/10/2017 - 1/12/2017, Every day, Daily Average",3071,2072,4550
