"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"271","Kisii University College, monrovia ambank, Nairobi","324","30700 Naivasha Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",1171,739,1855
"271","Kisii University College, monrovia ambank, Nairobi","325","Community Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",2506,1604,3914
"271","Kisii University College, monrovia ambank, Nairobi","327","Moi Dr","1/10/2017 - 1/12/2017, Every day, Daily Average",1836,1074,3138
"271","Kisii University College, monrovia ambank, Nairobi","328","Sigona Dr","1/10/2017 - 1/12/2017, Every day, Daily Average",1706,1227,2371
"271","Kisii University College, monrovia ambank, Nairobi","329","1800 Mpaka Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",551,279,1085
"271","Kisii University College, monrovia ambank, Nairobi","330","Kanyariri-Gitaru Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",1659,1111,2476
"271","Kisii University College, monrovia ambank, Nairobi","331","Unnamed Road","1/10/2017 - 1/12/2017, Every day, Daily Average",2895,1988,4214
"271","Kisii University College, monrovia ambank, Nairobi","332","Unnamed Road","1/10/2017 - 1/12/2017, Every day, Daily Average",2258,1483,3436
"271","Kisii University College, monrovia ambank, Nairobi","333","Nyasa Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",1250,661,2360
"271","Kisii University College, monrovia ambank, Nairobi","334","Southern Bypass","1/10/2017 - 1/12/2017, Every day, Daily Average",1216,692,2136
"271","Kisii University College, monrovia ambank, Nairobi","335","Meru - Nairobi Hwy","1/10/2017 - 1/12/2017, Every day, Daily Average",2229,1519,3269
"271","Kisii University College, monrovia ambank, Nairobi","336","0 Mbagathi Ridge","1/10/2017 - 1/12/2017, Every day, Daily Average",2574,1733,3821
"271","Kisii University College, monrovia ambank, Nairobi","337","0 Milima Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",2705,1783,4103
"271","Kisii University College, monrovia ambank, Nairobi","338","Gatundu-Juja Road","1/10/2017 - 1/12/2017, Every day, Daily Average",2466,1713,3549
"271","Kisii University College, monrovia ambank, Nairobi","340","Meru - Nairobi Hwy","1/10/2017 - 1/12/2017, Every day, Daily Average",1884,1229,2887
"271","Kisii University College, monrovia ambank, Nairobi","341","Hillcrest Dr","1/10/2017 - 1/12/2017, Every day, Daily Average",2240,1317,3808
"271","Kisii University College, monrovia ambank, Nairobi","343","Karura Munyaka Road","1/10/2017 - 1/12/2017, Every day, Daily Average",2712,1590,4623
"271","Kisii University College, monrovia ambank, Nairobi","344","Kibiku Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",2198,1342,3597
"271","Kisii University College, monrovia ambank, Nairobi","346","Kikuyu - Nderi Road","1/10/2017 - 1/12/2017, Every day, Daily Average",1931,1279,2914
"271","Kisii University College, monrovia ambank, Nairobi","347","Ghana Cl","1/10/2017 - 1/12/2017, Every day, Daily Average",1626,1038,2545
"271","Kisii University College, monrovia ambank, Nairobi","348","Unnamed Road","1/10/2017 - 1/12/2017, Every day, Daily Average",2790,2090,3724
"271","Kisii University College, monrovia ambank, Nairobi","349","Unnamed Road","1/10/2017 - 1/12/2017, Every day, Daily Average",2532,1839,3485
"271","Kisii University College, monrovia ambank, Nairobi","350","Eldoret-Malaba Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",2236,1707,2928
"271","Kisii University College, monrovia ambank, Nairobi","351","Airport N Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",1183,662,2112
"271","Kisii University College, monrovia ambank, Nairobi","352","Ngong View Road","1/10/2017 - 1/12/2017, Every day, Daily Average",2532,1790,3581
"271","Kisii University College, monrovia ambank, Nairobi","353","Gitaru Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",2469,1568,3887
"271","Kisii University College, monrovia ambank, Nairobi","354","Kahawa Flyover","1/10/2017 - 1/12/2017, Every day, Daily Average",1566,987,2484
"271","Kisii University College, monrovia ambank, Nairobi","355","Kapenguria","1/10/2017 - 1/12/2017, Every day, Daily Average",1669,1182,2356
"271","Kisii University College, monrovia ambank, Nairobi","357","Unnamed Road","1/10/2017 - 1/12/2017, Every day, Daily Average",2669,1744,4083
